mandelbrot1n4w512, 146.176.165.159,0,0,25584,4426, ,
mandelbrot1n4w512, 146.176.165.160,1,0,12225,4434, ,
mandelbrot1n4w512, 146.176.165.156,2,0,5658,4430, ,
Host,,,,,,32423,5554
mandelbrot1n4w512, 146.176.165.159,0,0,13929,4419, ,
mandelbrot1n4w512, 146.176.165.160,1,0,10179,4428, ,
mandelbrot1n4w512, 146.176.165.156,2,0,5705,4418, ,
Host,,,,,,18865,5600
mandelbrot1n4w512, 146.176.165.159,0,0,12229,4540, ,
mandelbrot1n4w512, 146.176.165.160,1,0,9108,4545, ,
mandelbrot1n4w512, 146.176.165.156,2,0,5801,4533, ,
Host,,,,,,17311,5697
mandelbrot1n4w512, 146.176.165.159,0,0,12066,4352, ,
mandelbrot1n4w512, 146.176.165.160,1,0,8770,4359, ,
mandelbrot1n4w512, 146.176.165.156,2,0,5586,4343, ,
Host,,,,,,16420,5486
mandelbrot1n4w512, 146.176.165.159,0,0,11587,4377, ,
mandelbrot1n4w512, 146.176.165.160,1,0,8702,4382, ,
mandelbrot1n4w512, 146.176.165.156,2,0,5606,4379, ,
Host,,,,,,18278,5501
