mandelbrot4n4w512, 146.176.165.159, 0, 0, 22454, 1831, 
mandelbrot4n4w512, 146.176.165.160, 1, 0, 20145, 1861, 
mandelbrot4n4w512, 146.176.165.156, 1, 1, 17781, 1856, 
mandelbrot4n4w512, 146.176.165.151, 1, 2, 14007, 1853, 
mandelbrot4n4w512, 146.176.165.152, 1, 3, 11363, 1853, 
mandelbrot4n4w512, 146.176.165.154, 2, 0, 4164, 1852, 
Host,,,,,,26498,4053
mandelbrot4n4w512, 146.176.165.159, 0, 0, 22751, 1837, 
mandelbrot4n4w512, 146.176.165.160, 1, 0, 20570, 1860, 
mandelbrot4n4w512, 146.176.165.156, 1, 1, 18113, 1853, 
mandelbrot4n4w512, 146.176.165.151, 1, 2, 14393, 1854, 
mandelbrot4n4w512, 146.176.165.152, 1, 3, 11723, 1857, 
mandelbrot4n4w512, 146.176.165.154, 2, 0, 4150, 1853, 
Host,,,,,,28203,4046
mandelbrot4n4w512, 146.176.165.159, 0, 0, 22189, 1845, 
mandelbrot4n4w512, 146.176.165.160, 1, 0, 19841, 1869, 
mandelbrot4n4w512, 146.176.165.156, 1, 1, 17307, 1869, 
mandelbrot4n4w512, 146.176.165.151, 1, 2, 13594, 1867, 
mandelbrot4n4w512, 146.176.165.152, 1, 3, 10793, 1863, 
mandelbrot4n4w512, 146.176.165.154, 2, 0, 4227, 1862, 
Host,,,,,,27084,4116
mandelbrot4n4w512, 146.176.165.159, 0, 0, 24240, 1824, 
mandelbrot4n4w512, 146.176.165.160, 1, 0, 21145, 1845, 
mandelbrot4n4w512, 146.176.165.156, 1, 1, 18225, 1849, 
mandelbrot4n4w512, 146.176.165.151, 1, 2, 14285, 1839, 
mandelbrot4n4w512, 146.176.165.152, 1, 3, 11179, 1828, 
mandelbrot4n4w512, 146.176.165.154, 2, 0, 4169, 1838, 
Host,,,,,,27885,4058
mandelbrot4n4w512, 146.176.165.159, 0, 0, 22213, 1823, 
mandelbrot4n4w512, 146.176.165.160, 1, 0, 19577, 1847, 
mandelbrot4n4w512, 146.176.165.156, 1, 1, 17150, 1843, 
mandelbrot4n4w512, 146.176.165.151, 1, 2, 13391, 1844, 
mandelbrot4n4w512, 146.176.165.152, 1, 3, 10787, 1838, 
mandelbrot4n4w512, 146.176.165.154, 2, 0, 4150, 1840, 
Host,,,,,,27258,4035
