mandelbrot1n4w512, 146.176.165.159,0,0,105996,4168, 
mandelbrot1n4w512, 146.176.165.160,1,0,48172,4194, 
mandelbrot1n4w512, 146.176.165.156,2,0,8542,4193, 
mandelbrot1n4w512, 146.176.165.159, 0, 0, 15571, 4546, 
mandelbrot1n4w512, 146.176.165.160, 1, 0, 10245, 4547, 
mandelbrot1n4w512, 146.176.165.156, 2, 0, 5761, 4544, 
mandelbrot1n4w512, 146.176.165.159, 0, 0, 15910, 4404, 
mandelbrot1n4w512, 146.176.165.160, 1, 0, 10815, 4436, 
mandelbrot1n4w512, 146.176.165.156, 2, 0, 5679, 4426, 
mandelbrot1n4w512, 146.176.165.159, 0, 0, 13352, 4204, 
mandelbrot1n4w512, 146.176.165.160, 1, 0, 9230, 4201, 
mandelbrot1n4w512, 146.176.165.156, 2, 0, 5419, 4195, 
mandelbrot1n4w512, 146.176.165.159, 0, 0, 14527, 4392, 
mandelbrot1n4w512, 146.176.165.160, 1, 0, 10005, 4393, 
mandelbrot1n4w512, 146.176.165.156, 2, 0, 5599, 4385, 
